subject,window,t_ms,model0,model2B,model3
7,46,1095,-204.189,-203.554,-204.043
7,47,1125,-196.193,-195.89,-195.638
7,48,1155,-186.949,-187.186,-186.618
7,49,1185,-195.096,-195.151,-195.558
7,50,1215,-199.444,-199.611,-199.772
7,51,1245,-192.524,-192.905,-192.851
7,52,1275,-186.313,-186.749,-186.061
8,0,-285,-100.483,-100.356,-100.603
8,1,-255,-105.573,-105.417,-105.455
8,2,-225,-116.812,-117.058,-116.813
8,3,-195,-126.702,-126.729,-126.686
8,4,-165,-116.797,-116.737,-117.158
8,5,-135,-109.614,-109.703,-109.367
8,6,-105,-104.222,-104.035,-103.137
8,7,-75,-117.385,-116.877,-117.193
8,8,-45,-127.664,-128.433,-127.914
8,9,-15,-124.583,-124.713,-124.794
8,10,15,-113.484,-114.065,-114.168
8,11,45,-113.883,-113.78,-114.36
8,12,75,-139.885,-139.846,-140.819
8,13,105,-148.026,-148.244,-148.401
8,14,135,-145.154,-145.598,-145.773
8,15,165,-179.7,-180.617,-180.521
8,16,195,-192.084,-191.524,-191.615
8,17,225,-187.706,-186.489,-186.672
8,18,255,-200.581,-197.677,-197.654
8,19,285,-229.601,-221.272,-221.619
8,20,315,-249.949,-235.071,-235.669
8,21,345,-244.642,-231.652,-231.226
8,22,375,-228.965,-220.173,-220.577
8,23,405,-228.128,-220.971,-221.38
8,24,435,-229.824,-223.668,-223.687
8,25,465,-210.772,-207.425,-207.205
8,26,495,-206.56,-205.639,-205.465
8,27,525,-212.357,-210.523,-210.385
8,28,555,-199.614,-198.359,-197.78
8,29,585,-170.402,-169.928,-169.743
8,30,615,-157.486,-157.61,-157.618
8,31,645,-156.09,-156.509,-156.411
8,32,675,-151.436,-152.013,-151.829
8,33,705,-139.956,-140.764,-140.216
8,34,735,-154.117,-156.666,-154.487
8,35,765,-176.283,-177.26,-176.054
8,36,795,-192.766,-191.628,-191.497
8,37,825,-172.888,-172.659,-172.733
8,38,855,-148.617,-149.028,-149.247
8,39,885,-159.081,-159.243,-159.509
8,40,915,-174.925,-174.448,-175.434
8,41,945,-161.724,-161.515,-162.029
8,42,975,-141.551,-141.576,-141.807
8,43,1005,-146.623,-146.801,-147.182
8,44,1035,-149.47,-149.556,-149.952
8,45,1065,-145.852,-146.348,-145.984
8,46,1095,-143.108,-143.434,-143.642
8,47,1125,-133.828,-134.072,-134.135
8,48,1155,-131.784,-132.111,-131.823
8,49,1185,-136.249,-136.933,-136.804
8,50,1215,-133.544,-134.298,-134.65
8,51,1245,-131.751,-131.571,-132.682
8,52,1275,-135.799,-136.934,-135.619
9,0,-285,-161.531,-161.973,-162.262
9,1,-255,-170.581,-170.51,-170.369
9,2,-225,-165.713,-166.298,-165.938
9,3,-195,-165.147,-165.883,-164.768
9,4,-165,-166.277,-166.114,-166.003
9,5,-135,-173.079,-173.514,-172.593
9,6,-105,-151.878,-152.655,-152.317
9,7,-75,-130.529,-131.158,-131.191
9,8,-45,-147.325,-147.658,-148.224
9,9,-15,-154.389,-154.784,-154.415
9,10,15,-159.467,-159.735,-159.323
9,11,45,-163.258,-163.432,-163.53
9,12,75,-170.325,-170.652,-170.803
9,13,105,-179.849,-179.626,-179.971
9,14,135,-182.245,-182.56,-182.358
9,15,165,-175.383,-176.116,-175.243
9,16,195,-184.888,-185.171,-184.477
9,17,225,-198.805,-198.637,-197.974
9,18,255,-205.755,-205.73,-205.108
9,19,285,-203.637,-203.736,-203.325
9,20,315,-226.72,-226.119,-225.776
9,21,345,-222.099,-220.427,-221.207
9,22,375,-209.533,-209.179,-209.222
9,23,405,-207.283,-207.226,-207.499
9,24,435,-211.556,-210.962,-211.095
9,25,465,-224.44,-222.678,-223.109
9,26,495,-226.256,-224.713,-225.469
9,27,525,-224.24,-223.868,-224.193
9,28,555,-213.409,-213.371,-213.325
9,29,585,-208.759,-209.847,-209.444
9,30,615,-194.069,-194.533,-194.585
9,31,645,-183.937,-183.454,-183.885
9,32,675,-190.852,-190.677,-190.56
9,33,705,-189.059,-189.306,-188.897
9,34,735,-202.282,-201.766,-201.943
9,35,765,-213.548,-212.683,-212.239
9,36,795,-198.645,-197.867,-198.51
9,37,825,-178.791,-178.69,-178.933
9,38,855,-195.15,-195.069,-194.92
9,39,885,-215.939,-215.995,-215.302
9,40,915,-206.12,-205.728,-205.79
9,41,945,-192.266,-192.549,-192.9
9,42,975,-184.696,-184.757,-184.921
9,43,1005,-187.456,-187.904,-187.691
9,44,1035,-183.92,-184.864,-182.238
9,45,1065,-167.677,-168.252,-168.183
9,46,1095,-162.361,-162.649,-163.482
9,47,1125,-165.324,-165.526,-165.79
9,48,1155,-176.838,-176.77,-177.346
9,49,1185,-180.575,-180.949,-180.966
9,50,1215,-173.827,-173.88,-173.676
9,51,1245,-175.832,-176.265,-174.597
9,52,1275,-185.189,-185.569,-184.921
10,0,-285,-116.397,-116.409,-116.449
10,1,-255,-129.548,-130.816,-130.487
10,2,-225,-121.861,-122.397,-122.206
10,3,-195,-119.213,-120.016,-119.724
10,4,-165,-112.254,-112.112,-112.303
10,5,-135,-110.397,-110.472,-110.735
10,6,-105,-118.31,-118.662,-118.529
10,7,-75,-130.511,-130.4,-130.95
10,8,-45,-125.24,-125.475,-125.465
10,9,-15,-139.371,-139.459,-139.555
10,10,15,-144.574,-144.228,-144.881
10,11,45,-146.207,-146.668,-146.568
10,12,75,-151.011,-152.127,-151.528
10,13,105,-156.562,-156.701,-156.703
10,14,135,-166.969,-167.19,-166.833
10,15,165,-191.084,-192.117,-192.23
10,16,195,-218.744,-216.148,-216.475
10,17,225,-218.578,-214.889,-215.677
10,18,255,-219.738,-217.407,-217.58
10,19,285,-238.974,-234.711,-234.837
